acronym, definition
3D,3 Dimensional
A/D,Analog to Digital Converter
AAI,Accept As Is
AASC,Association for the Advancement of Science in Canada
AB,Analysis Basis Document
ABET,Accreditation Board for Engineering and Technology Inc.
ABM,ATS Business Model
AC,Activated Carbon/Charcoal
AC,Alternating Current
AC,Actual Costs
ACDE,"Admissions, Complaints, Discipline and Enforcement Task Force"
ACEC,Association of Consulting Engineering Companies - Canada
ACEC,American Consulting Engineers' Council (US)
ACMC,Association of Canadian Medical Colleges
ACR,Advanced CANDU Reactor
ACWP,Actual Cost of Work Performed
ADP,advanced dual pulse 
ADSS,ATS Design Specification Summary
ADT,Automated Delivery Table
AECL,Atomic Energy of Canada Ltd.
AESAC,Associated Environmental Site Assessors of Canada
AFS,Available For Service
AGM,Annual General Meeting
AGO,Attorney General's Office
AGO,Association of Geoscientists of Ontario
AGS,Annulus Gas System
AGV,Automated Guided Vehicle
AHJ,authority having jurisdiction
AI,Artificial Intelligence
AIAC,Aerospace Industries Association of Ontario
AISI,American Iron and Steel Institute
AL,Airlock
ALARA,As Low As Reasonably Achievable
ALR,ALARA Report
AMP,Amplifier
AMS,Aeronautical Material Specifications
ANDE,Advanced Non-Destructive Examination
ANSI,American National Standards Institute
AODA,Accessibility for Ontarians with Disabilities Act
AOP,Annual Operating Plan
APG,Automation Products Group
AR,Design Calculation
AR,Design Report
AR,Action Request
AR,Augmented Reality
AR,Lifting Device Certification
ASD,Assessment Document
ASD,"Analytical, Scientific and Design"
ASEE,American Society for Engineering Education
ASG,Automation Systems Group
ASHRAE,"American Society of Heating, Refrigeration and Air-Conditioning Engineering"
ASME,American Society of Mechanical Engineers
ASQE,American Society of Quality Expert
ASTM,American Society for Testing Materials
ATHT,Automated Thumbtack Handling Tool
ATP,Acceptance Test Plan
ATS,Automated Tooling Systems
AVL,Approved Vendor List
AWG,American Wire Gauge
AWMA,Air and Waste Management Association
B51,Pressure Vessel Standard (CSA)
BB,Bolted Bonnet
BC,Bolted Cap
BCT,Bellows Cut Tool
BCWP,Budgeted Cost of Work Performed
BCWS,Budgeted Cost of Work Scheduled
BDBA,Beyond Design Basis Accident
BE,Back End
BEM,Behavior Engineering Model
BEV,Battery Electric Vehicles
BFW,Boiler Feedwater
BH,Bulkhead
BI,Business Intelligence
BIL,Basic Impulse Level
BLR,Burden Labour Rate
BM,Bill of Material
BM,Bill of Material
BOB,Best of Best
BoD,Board of Directors
BOD,Basis Of Design
BOM,Bill of Material
BP,Bruce Power
BPVC,Boiler and Pressure Vessel Code
BQMS,Business & Quality Management System
BRIMS,Bruce Reactor Inspection and Maintenance System
